time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-04-28 09:30:00-04:00,SentimentAnalysisTrader,b2b7ea7a2ddb4f9d853cc77849b3dae0,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,SentimentAnalysisTrader,b2b7ea7a2ddb4f9d853cc77849b3dae0,SPY,sell,market,fill,1,gtc,0.0,1,stock,423.5899963378906,1585.0,0.0
2022-06-10 09:30:00-04:00,SentimentAnalysisTrader,ae01eff245704f6d9c89d5af195809ca,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-10 09:30:00-04:00,SentimentAnalysisTrader,ae01eff245704f6d9c89d5af195809ca,SPY,sell,market,fill,1,gtc,0.0,1,stock,394.8800048828125,2550.0,0.0
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,eda70283f4404b9eac3f1908159a0179,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,7f19dc4b6b584e08ae54ab103825f718,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,64ae9c83f16c4db9b09ea33dff928d22,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,f09f4903a8d141428ce9f31cf5f7653a,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,53a61acca8ab432aaf7df54256144c1a,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,4784737c25cf4049939e1a3eab641de9,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,3ed60ac23b08422b956f7aec33d5bdf8,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,7dd94dcf591a4416b9ce5b4061ef4e5a,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,9c29be874d3745a0bd968b3c2bc28db8,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,22f28251962945449e66567fac436751,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,7b48bbe3a5094ae6b50d6d30ca8366c3,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,1c7823fa7b8447ff8f89c6ee686b18c1,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,52638e9d6c354b7f97ac4ce495c9cf29,SPY,buy,market,new,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,3d61f915689c4306b869c96744b32343,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,52638e9d6c354b7f97ac4ce495c9cf29,SPY,buy,market,fill,1,day,0.0,1,stock,387.2699890136719,6819.0,0.0
2022-07-08 09:30:00-04:00,SentimentAnalysisTrader,3d61f915689c4306b869c96744b32343,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,3900.0,0.0
2022-09-22 09:30:00-04:00,SentimentAnalysisTrader,a7fba53c3155415c9dc0615b12a1e9df,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-22 09:30:00-04:00,SentimentAnalysisTrader,9de88abdd20044b6b8aa7e679b58890e,SPY,sell,stop,fill,1,day,0.0,1,stock,367.90648956298827,3900.0,0.0
2022-09-27 09:30:00-04:00,SentimentAnalysisTrader,f17b834b33484805991f487a73c70d93,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-27 09:30:00-04:00,SentimentAnalysisTrader,f17b834b33484805991f487a73c70d93,SPY,sell,market,fill,1,gtc,0.0,1,stock,364.3800048828125,418.0,0.0
2022-09-28 09:30:00-04:00,SentimentAnalysisTrader,047868247d534c1d891369481bc0426a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-28 09:30:00-04:00,SentimentAnalysisTrader,047868247d534c1d891369481bc0426a,SPY,sell,market,fill,1,gtc,0.0,1,stock,366.80999755859375,623.0,0.0
2022-10-24 08:30:00-04:00,SentimentAnalysisTrader,9363dafcf08f427dba41307f6ea83aec,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-24 08:30:00-04:00,SentimentAnalysisTrader,bd7093db1c3e4512b5a75fcf24c4561b,SPY,buy,stop,fill,1,day,0.0,1,stock,382.59900512695316,418.0,0.0
2022-10-24 08:30:00-04:00,SentimentAnalysisTrader,16224d969d5f4e5b8761e38e644beaea,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-24 08:30:00-04:00,SentimentAnalysisTrader,d5592d43f1a9461d9eb1ea3aa86ec7c4,SPY,buy,stop,fill,1,day,0.0,1,stock,385.15049743652344,623.0,0.0
2023-01-19 09:30:00-05:00,SentimentAnalysisTrader,061ccd92063141d38e9cd37b6cfb4bf2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,SentimentAnalysisTrader,061ccd92063141d38e9cd37b6cfb4bf2,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,367.0,0.0
2023-02-01 09:30:00-05:00,SentimentAnalysisTrader,5b8ba18956584b6a80361854699f1259,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,SentimentAnalysisTrader,bd61068d5fa74845b994181b0148d88b,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,367.0,0.0
2023-04-10 09:30:00-04:00,SentimentAnalysisTrader,015d7559afba4a8cb11daf30b2d56d73,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,SentimentAnalysisTrader,015d7559afba4a8cb11daf30b2d56d73,SPY,sell,market,fill,1,gtc,0.0,1,stock,410.260009765625,339.0,0.0
2023-06-06 09:30:00-04:00,SentimentAnalysisTrader,505adfae47a744609bfc3d15e4294bb4,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,SentimentAnalysisTrader,dcbc5135b5d642428411f873974399b7,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,SentimentAnalysisTrader,2bb8dec4f8b1466682027482d6bde7e8,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,SentimentAnalysisTrader,549d0df2896c40239cf4462d6235e958,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
